Absolute Maximum,,Absolute Minimum
Double,F48,Double,F48
1218,7543,1176,7613
1582,7227,1127,7123
1134,7298,1169,7158
1085,7332,1148,7193
1134,7122,1071,7158
1134,7245,1134,7018
1575,7245,1169,7140
1127,7367,1162,7122
1071,7210,1127,7122
1134,7245,1169,7123
