5977400.000000	2
6057400.000000	3
6077400.000000	2
6097400.000000	1
6117400.000000	1
6137400.000000	3
6157400.000000	6
6177400.000000	7
6197400.000000	2
6217400.000000	1
6237400.000000	4
6257400.000000	6
6277400.000000	6
6297400.000000	2
6317400.000000	3
6337400.000000	2
6357400.000000	3
6377400.000000	3
6397400.000000	2
6417400.000000	3
6437400.000000	3
6457400.000000	2
6477400.000000	2
6497400.000000	3
6577400.000000	1
6597400.000000	2
6677400.000000	1
6697400.000000	1
6717400.000000	2
6737400.000000	1
6757400.000000	4
6857400.000000	1
6877400.000000	1
6897400.000000	1
6937400.000000	1
6957400.000000	2
6977400.000000	1
6997400.000000	1
7017400.000000	1
7057400.000000	1
7077400.000000	1
7117400.000000	1
7137400.000000	1
7197400.000000	1
7217400.000000	1
7477400.000000	1
