7210628.000000	2
7230628.000000	2
7270628.000000	4
7290628.000000	4
7310628.000000	1
7330628.000000	3
7350628.000000	5
7370628.000000	6
7390628.000000	1
7410628.000000	4
7430628.000000	2
7450628.000000	5
7470628.000000	6
7490628.000000	3
7510628.000000	4
7530628.000000	2
7550628.000000	1
7570628.000000	2
7590628.000000	2
7610628.000000	2
7630628.000000	1
7650628.000000	3
7670628.000000	1
7690628.000000	1
7710628.000000	1
7730628.000000	1
7770628.000000	3
7790628.000000	2
7810628.000000	1
7830628.000000	1
7870628.000000	1
7890628.000000	1
7930628.000000	2
7950628.000000	2
7970628.000000	1
7990628.000000	1
8070628.000000	1
8090628.000000	1
8150628.000000	4
8170628.000000	1
8190628.000000	1
8230628.000000	3
8290628.000000	1
8330628.000000	1
8370628.000000	1
8510628.000000	1
8610628.000000	1
