Absolute Maximum(size:2048),,Absolute Minimum
Double,F48,Double,F48
1140,4644,1144,4676
1108,4236,1104,4260
1088,4232,1088,4236
1088,4256,1088,4232
1088,4232,1088,4236
1088,4232,1088,4236
1092,4232,1088,4236
1092,4232,1092,4236
1092,4232,1092,4232
1092,4232,1088,4236
1088,4228,1088,4232
1088,4232,1088,4236
1088,4232,1088,4236
1092,4232,1092,4236
1092,4232,1092,4236
1092,4232,1088,4236
1092,4232,1088,4232
1088,4232,1088,4232
1088,4232,1088,4236
1088,4232,1088,4236
1092,4232,1092,4232
1092,4232,1092,4232
1092,4232,1088,4236
1092,4232,1084,4236
1092,4232,1088,4232
