Scale
Double,F48,F48-Double
2728591,4398636
3283408,2855074
2970311,7936871
3201511,2846617
3080226,2819493
2079280,2780135
1910258,2788913
1899883,2767475
3390401,2768879
2115552,2764464
2498860,2735448
1868357,2759549
1979037,2752516
1930645,2826886
1950266,2750687
1818487,2750806
1839374,2757166
1889744,2737086
1865381,2722449
1784914,4922796
1851994,2768881
1872086,2761110
1883801,2749933
2608533,2741361
9877405,2721576
2363513,2755161
1965638,2714496
1951856,2736905
2404587,2748587
1723138,2737631
1868473,2726971
1881606,2743252
2351625,2725776
1794854,2755405
1843452,2739854
1843988,2745152
2341485,2752090
1900041,2740417
1835123,2729148
1831343,2712569
2007150,2737691
1931089,2747270
1885425,2728239
1870886,2854845
1926302,2826016
1955699,2743327
1740498,2763648
1909317,2743172
2067931,2737450
1954909,2735236
2043359,2732326
1856600,2740640
1886581,2878927
1936203,2785497
1959869,2761914
1809262,2767484
1929376,2745573
1997946,2749034
2139063,2727513
1842963,2770439
1797320,2743187
2422765,2747991
1984450,2846162
1819244,2752608
1821948,2736717
1949533,2743770
1902529,2762355
1933019,2733015
1835504,2736535
1896917,2729369
1888234,2728731
1910139,2715294
1834357,2720096
1883670,2728404
2211935,2737754
1913803,2720298
1753330,2766745
1816411,2727653
1978420,2818948
1892502,2756984
1789939,2784710
1827816,2813505
1943823,2784034
1875407,2775876
2025645,3208171
1757778,2799753
1938896,2778393
2194006,2802505
1966985,2710540
1803784,2735728
1899264,2750198
1823476,2740873
1904935,2743092
1721717,2759332
1889732,2758098
1857555,2732890
2210153,2710847
1784008,2727644
1865804,2740753
2178766,2741507
